year	abbr	total	democrat	republican
1976	AL	1182850	659170	504070
1976	AK	123574	44058	71555
1976	AZ	742719	295602	418642
1976	AR	767535	498604	267903
1976	CA	7803770	3742284	3882244
1976	CO	1081440	460801	584278
1976	CT	1386355	647895	719261
1976	DE	235642	122461	109780
1976	DC	168830	137818	27873
1976	FL	3150631	1636000	1469531
1976	GA	1463152	979409	483743
1976	HI	291301	147375	140003
1976	ID	340932	126549	204151
1976	IL	4721282	2271295	2364269
1976	IN	2220362	1014714	1183958
1976	IA	1279303	619931	632864
1976	KS	957845	430421	502752
1976	KY	1167142	615717	531852
1976	LA	1277383	661365	587446
1976	ME	482968	232279	236320
1976	MD	1432273	759612	672661
1976	MA	2547558	1429475	1030276
1976	MI	3651590	1696714	1893742
1976	MN	1949931	1070440	819395
1976	MS	768390	381329	366846
1976	MO	1953600	998387	927443
1976	MT	328734	149259	173703
1976	NE	606749	233293	359219
1976	NV	201876	92479	101273
1976	NH	339627	147645	185935
1976	NJ	3014472	1444653	1509688
1976	NM	416590	201148	211419
1976	NY	6668262	3244165	2825913
1976	NC	1677906	927365	741960
1976	ND	297308	136078	153684
1976	OH	4110456	2009959	2000626
1976	OK	1092251	532442	545708
1976	OR	1029876	490407	492120
1976	PA	4620787	2328677	2205604
1976	RI	410584	227636	181249
1976	SC	802583	450807	346149
1976	SD	300678	147068	151505
1976	TN	1476346	825879	633969
1976	TX	4071884	2082319	1953300
1976	UT	541218	182110	337908
1976	VT	183902	77798	100387
1976	VA	1697094	813896	836554
1976	WA	1555534	717323	777732
1976	WV	750590	435864	314726
1976	WI	2101336	1040232	1004987
1976	WY	156343	62239	92717
1980	AL	1341929	636730	654192
1980	AK	158445	41842	86112
1980	AZ	873945	246843	529688
1980	AR	837582	398041	403164
1980	CA	8582938	3082943	4522994
1980	CO	1184450	368009	652264
1980	CT	1406285	541732	677210
1980	DE	235668	105754	111252
1980	DC	173889	130231	23313
1980	FL	3686927	1419475	2046951
1980	GA	1596805	890955	654168
1980	HI	303287	135879	130112
1980	ID	437431	110192	290699
1980	IL	4749721	1981413	2358049
1980	IN	2242033	844197	1255656
1980	IA	1317661	508672	676026
1980	KS	979795	326150	566812
1980	KY	1295627	617417	635274
1980	LA	1548591	708453	792853
1980	ME	523011	220974	238522
1980	MD	1540496	726161	680606
1980	MA	2524090	1053802	1057631
1980	MI	3909725	1661532	1915225
1980	MN	2051916	954173	873268
1980	MS	891750	429281	441089
1980	MO	2099824	931182	1074181
1980	MT	363952	118032	206814
1980	NE	639533	166424	419214
1980	NV	243692	66666	155017
1980	NH	383990	108864	221705
1980	NJ	2975684	1147364	1546557
1980	NM	456237	167826	250779
1980	NY	6201959	2728372	2637700
1980	NC	1855833	875635	915018
1980	ND	301116	79189	193695
1980	OH	4283603	1752414	2206545
1980	OK	1149708	402026	695570
1980	OR	1181516	456890	571044
1980	PA	4561501	1937540	2261872
1980	RI	415967	198342	154793
1980	SC	888258	428220	439277
1980	SD	327703	103855	198343
1980	TN	1617616	783051	787761
1980	TX	4541636	1881147	2510705
1980	UT	604152	124266	439687
1980	VT	213299	81952	94628
1980	VA	1866032	752174	989609
1980	WA	1742394	650193	865244
1980	WV	737715	367462	334206
1980	WI	2273221	981584	1088845
1980	WY	176713	49427	110700
1984	AL	1441713	551899	872849
1984	AK	207605	62007	138377
1984	AZ	1025897	333854	681416
1984	AR	884406	338646	534774
1984	CA	9505041	3922519	5467009
1984	CO	1295380	454975	821817
1984	CT	1466900	569597	890877
1984	DE	254572	101656	152190
1984	DC	211288	180408	29009
1984	FL	4180051	1448816	2730350
1984	GA	1776103	706628	1068722
1984	HI	335846	147154	185050
1984	ID	411144	108510	297523
1984	IL	4819088	2086499	2707103
1984	IN	2233069	841481	1377230
1984	IA	1319805	605620	703088
1984	KS	1021991	333149	677296
1984	KY	1369345	539539	821702
1984	LA	1706822	651586	1037299
1984	ME	553144	214515	336500
1984	MD	1675873	787935	879918
1984	MA	2559383	1239606	1310936
1984	MI	3801658	1529638	2251571
1984	MN	2084449	1036364	1032603
1984	MS	941104	352192	582377
1984	MO	2122771	848583	1274188
1984	MT	384377	146742	232450
1984	NE	652090	187866	460054
1984	NV	282717	91655	188770
1984	NH	388904	120347	267050
1984	NJ	3217862	1261323	1933630
1984	NM	514370	201769	307101
1984	NY	6806810	3001285	3376519
1984	NC	2175361	824287	1346481
1984	ND	308971	104429	200336
1984	OH	4563235	1825440	2678559
1984	OK	1255676	385080	861530
1984	OR	1226527	536479	685700
1984	PA	4844903	2228131	2584323
1984	RI	410489	197106	212080
1984	SC	968529	344459	615539
1984	SD	317867	116113	200267
1984	TN	1711993	711714	990212
1984	TX	5397571	1949276	3433428
1984	UT	629656	155369	469105
1984	VT	234561	95730	135865
1984	VA	2146635	796250	1337078
1984	WA	1874910	798352	1051670
1984	WV	735742	328125	405483
1984	WI	2211689	995740	1198584
1984	WY	188968	53370	133241
1988	AL	1378476	549506	815576
1988	AK	200116	72584	119251
1988	AZ	1171873	454029	702541
1988	AR	827738	349237	466578
1988	CA	9887065	4702233	5054917
1988	CO	1372394	621453	728177
1988	CT	1443394	676584	750241
1988	DE	249891	108647	139639
